X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
522832.8039,4921939.7992,14,EA015.50,A,30,3.3,0.41,108,11.6,31,163,2017/06/19 00:00:00+00,44.4504,-68.71303,EA
521816.9731,4920684.4692,15,EA017.00,A,30,2.2,0.22,15,4.4,31,163,2017/06/19 00:00:00+00,44.43913,-68.72585,EA
523525.0949,4916189.5572,16,EA019.00,A,30,3.6,0.35,44,10.4,31,163,2017/05/10 00:00:00+00,44.39861,-68.70459,EA
523555.7234,4915867.5443,17,EA019.10,A,30,3.2,0.34,66,9,31,163,2017/05/10 00:00:00+00,44.39571,-68.70422,EA
525130.5144,4915790.1141,18,EA019.20,A,30,4.7,0.52,360,22,31,163,2017/05/10 00:00:00+00,44.39496,-68.68445,EA
525223.301,4915686.0597,19,EA019.23,A,30,5.3,0.53,122,25.5,31,163,2017/05/10 00:00:00+00,44.39402,-68.68329,EA
525101.589,4915442.3312,20,EA019.27,A,30,3.7,0.45,114,14.2,31,163,2017/05/10 00:00:00+00,44.39183,-68.68483,EA
525836.0739,4914599.9019,21,EA019.38,A,30,4.1,0.45,280,15.5,31,163,2017/05/10 00:00:00+00,44.38422,-68.67565,EA
526097.3777,4914592.0556,22,EA019.39,A,30,4.4,0.52,460,20.8,31,163,2017/05/10 00:00:00+00,44.38414,-68.67237,EA
525978.3102,4914287.2293,23,EA019.42,A,30,4.5,0.51,260,21.1,31,163,2017/05/10 00:00:00+00,44.3814,-68.67388,EA
520565.5778,4917525.8039,24,EA021.00,A,30,2.6,0.34,28,7.4,31,163,2017/06/19 00:00:00+00,44.41073,-68.7417,EA
518900.3422,4916561.0605,25,EA023.00,CA,30,2.7,0.42,180,9.4,31,163,2019/07/01 00:00:00+00,44.40209,-68.76265,EA
517527.2196,4915183.2107,26,EA024.00,CA,30,3.2,0.44,160,11.9,31,163,2019/07/01 00:00:00+00,44.38972,-68.77994,EA
518936.3188,4913218.8787,27,EA026.00,A,30,2.6,0.33,24,7.2,31,163,2017/06/19 00:00:00+00,44.372,-68.76232,EA
518645.1175,4911684.0829,28,EA028.00,A,30,2.5,0.35,108,7.2,31,163,2017/06/19 00:00:00+00,44.35819,-68.76603,EA
517126.5729,4913065.0379,29,EA029.00,CA,30,2.5,0.31,34,6.4,31,163,2019/07/01 00:00:00+00,44.37066,-68.78504,EA
516909.1367,4913036.7021,30,EA031.00,CA,30,2.3,0.22,16,4.5,31,163,2011/01/03 00:00:00+00,44.37041,-68.78777,EA
515757.8278,4906432.6276,31,EB001.00,A,30,3.8,0.46,50,14.9,31,163,2017/07/05 00:00:00+00,44.31098,-68.80242,EB
516832.6222,4907478.2966,32,EB002.00,A,30,2.4,0.36,74,7.3,31,163,2017/07/05 00:00:00+00,44.32037,-68.78891,EB
518159.3318,4908123.8596,33,EB003.00,A,30,2.9,0.46,152,11.5,31,163,2017/07/05 00:00:00+00,44.32615,-68.77225,EB
519963.6206,4910766.0514,34,EB004.00,CA,30,2.7,0.37,56,8,31,163,2015/11/04 00:00:00+00,44.34989,-68.74952,EB
520340.1403,4908868.9315,35,EB004.50,P,30,2.7,0.35,32,8,31,163,2017/07/27 00:00:00+00,44.3328,-68.74487,EB
522097.1047,4907508.4066,36,EB008.60,P,30,2.8,0.42,64,10.1,31,163,2017/07/05 00:00:00+00,44.3205,-68.72289,EB
523272.6682,4906790.4943,37,EB010.00,P,30,2.9,0.42,126,10.6,31,163,2017/07/05 00:00:00+00,44.314,-68.70818,EB
525976.3298,4904959.0402,38,EB013.00,A,30,3.9,0.54,160,19.6,31,163,2017/07/05 00:00:00+00,44.29742,-68.67437,EB
529432.2259,4903698.5196,39,EB014.50,A,30,2.5,0.3,24,6.1,31,163,2017/07/05 00:00:00+00,44.28594,-68.63112,EB
529568.7393,4904742.1365,40,EB015.00,CA,30,2.5,0.36,46,7.3,31,163,2017/02/06 00:00:00+00,44.29533,-68.62935,EB
530809.0517,4905636.4668,41,EB015.80,CA,30,3.1,0.4,52,10.3,31,163,2015/11/04 00:00:00+00,44.30333,-68.61375,EB
530369.844,4904711.3711,42,EB016.50,CA,30,3.5,0.48,52,14.7,31,163,2017/01/04 00:00:00+00,44.29502,-68.61931,EB
