X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
526158.5084,4895884.969,108,EC017.80,A,30,30,3.6,0.37,22,10.9,31,163,44.2157200002201,-68.6725400002045,EC,a2693d6e-5d43-4703-bb11-97f0a35a1df1
525444.3355,4895062.4378,109,EC018.00,R,30,30,4.7,0.59,240,27.4,31,163,44.2083399998287,-68.6815200005911,EC,6cc50afc-cd78-4063-ab8a-c4dd67f80651
526907.2265,4893886.4468,111,EC019.00,A,30,30,4,0.55,360,20.7,31,163,44.1977000004084,-68.6632700001059,EC,6b27dded-f197-4b40-a57f-41b627921146
527426.3134,4893197.7163,112,EC019.70,P,30,30,2.9,0.43,96,10.5,31,163,44.1914799999431,-68.6568099995853,EC,504ede02-f24e-4428-a437-ff365c31ad5d
527184.5366,4892914.5847,114,EC020.00,P,30,30,3.1,0.49,96,13.6,31,163,44.1889400004307,-68.6598500004873,EC,2ea238d9-76c4-4252-b5ac-9c96a4bcbb40
529750.0335,4892023.783,115,EC021.00,A,30,30,2.7,0.39,140,8.6,31,163,44.1808199995642,-68.6278000003341,EC,bd4577d6-aa95-4e90-8ade-e446f83077f1
528564.6179,4891294.3244,119,EC022.00,A,30,30,2.6,0.35,38,7.4,31,163,44.174299999874,-68.6426700003795,EC,42fc02ed-6aa7-459c-9c10-23270e55bfc3
527887.273,4891541.3305,121,EC022.30,A,30,30,4.1,0.53,134,20.2,31,163,44.1765500001971,-68.6511299995331,EC,7ab2b0af-794a-4fe7-a894-4d45bebe9b47
528675.9937,4889585.3924,124,EC023.50,A,30,30,2.3,0.23,12,4.7,31,163,44.1589100000544,-68.6413699996834,EC,e178c2d6-f8e3-40d9-8855-00dc4b5d4bcb
525423.3168,4888721.1976,128,EC026.20,A,30,30,2.6,0.3,38,6.4,31,163,44.1512499998851,-68.6820900003313,EC,6095b54b-0473-474f-a247-e228b56183af
524710.1759,4889092.794,130,EC026.70,A,30,30,2.4,0.34,66,6.7,31,163,44.1546199998,-68.6909899996719,EC,f506fca5-6c18-42e4-bb8a-c572175ebe3b
