X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
588427.7363,4921638.3651,293,EL001.00,A,30,2.1,0.18,10,3.8,31,163,2018/06/18 00:00:00+00,44.44265,-67.88876,EL,a00fe40e-ed96-4630-956d-56e5a3f5aeda
588833.0187,4922675.9792,294,EL004.00,A,30,1.9,0.05,3.6,2.2,31,163,2018/06/18 00:00:00+00,44.45194,-67.88349,EL,67145fed-2f1c-41d0-a45c-1edf74829dd7
589302.1711,4923050.1337,295,EL006.00,A,30,2.1,0.2,18,3.9,31,163,2018/06/18 00:00:00+00,44.45525,-67.87753,EL,0fe2b682-2475-4348-9325-5f76829bd2aa
588592.4448,4924914.6542,296,EL007.00,A,30,2.4,0.28,44,5.5,31,163,2018/06/18 00:00:00+00,44.47212,-67.88613,EL,c717d362-49d0-426b-87df-f008b4e213a2
589639.4297,4924792.3484,297,EL008.00,A,30,2.2,0.2,14,4,31,163,2018/06/21 00:00:00+00,44.47089,-67.87299,EL,bbdad08b-7ade-4052-a482-648725e42557
589602.0324,4926236.1151,298,EL009.80,A,30,3.3,0.51,300,14.9,31,163,2018/06/18 00:00:00+00,44.48389,-67.87321,EL,454cc9b8-ed1b-42c5-a2cc-584581d59853
589823.2118,4925424.8131,299,EL011.00,A,30,2.8,0.41,100,9.8,31,163,2018/06/19 00:00:00+00,44.47656,-67.87057,EL,e8a9d161-5e77-4567-98b4-b1e95a153060
590983.007,4927298.5188,300,EL014.00,A,30,5.2,0.65,1700,35.7,31,163,2018/06/19 00:00:00+00,44.49328,-67.85566,EL,ec920a3b-8c78-4d7f-8e63-cf7b7de92690
591101.3159,4928332.2928,301,EL015.00,R,30,3.5,0.53,340,17.2,31,163,2018/08/08 00:00:00+00,44.50257,-67.85399,EL,d5543a71-08ea-4eb7-9cd7-dc1a495dc206
591197.5798,4928781.3761,302,EL017.80,A,30,3.6,0.6,320,21.7,31,163,2018/06/19 00:00:00+00,44.5066,-67.8527,EL,f1bc1ea6-bc79-4e27-825b-37f82c95c7a8
590982.6141,4928689.4819,303,EL018.00,P,30,5.7,0.67,840,41.5,31,163,2018/06/25 00:00:00+00,44.5058,-67.85542,EL,731a4bf7-4b6b-488c-90ac-a6a64dd05fad
590861.4655,4929506.5924,304,EL020.00,A,30,4,0.39,80,12.9,31,163,2018/06/19 00:00:00+00,44.51317,-67.8568,EL,128f7265-552e-4c55-964c-e9ddb2e773e3
590480.6616,4930306.7499,305,EL021.00,A,30,5.8,0.44,72,21.7,31,163,2019/03/18 00:00:00+00,44.52042,-67.86145,EL,8462d44b-2729-44b6-b182-964f2ecc9c43
590808.7348,4931116.8059,306,EL033.00,A,30,3.2,0.36,31,9.3,31,163,2018/06/19 00:00:00+00,44.52767,-67.85718,EL,8f45fb46-fbaf-4bc8-82ec-f8bc7342a6c1
591662.4021,4932573.114,307,EL035.00,A,30,3.9,0.48,66,16.7,31,163,2018/06/19 00:00:00+00,44.54067,-67.84618,EL,97d29d58-53fd-43eb-856b-822d7f47521e
592357.452,4934987.2058,308,EL036.00,CA,30,3.3,0.44,72,12.4,31,163,2018/11/06 00:00:00+00,44.56231,-67.837,EL,4781ba53-bb81-4a67-b69f-f2558033482f
593646.8084,4933982.4491,309,EL037.00,CA,30,2.4,0.22,13,4.7,31,163,2018/11/06 00:00:00+00,44.5531,-67.82095,EL,cf94113a-9bdc-4888-9e2a-e11a3c127809
592773.6469,4935765.3064,310,EL039.00,A,30,3.6,0.45,92,13.7,31,163,2018/06/19 00:00:00+00,44.56926,-67.83162,EL,e7dd52cb-1eb1-4eaa-995f-7f86c6d38521
