X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
530999.2786,4905724.0048,74,EB016.00,A,30,30,3.6,0.42,52,12.7,31,163,2014/08/05 00:00:00+00,44.3041100002785,-68.6113599998369,EB,3a44b7e5-cec3-4830-8f88-db8e6aafe1ee
530369.844,4904711.3711,76,EB016.50,CA,30,30,3,0.4,52,10,31,163,2015/06/01 00:00:00+00,44.2950199995931,-68.6193100002244,EB,a7629111-c998-4c24-84d0-caf7ee3c50d6
532901.9856,4901218.0478,79,EB018.50,CA,30,30,2.6,0.34,62,7.1,31,163,2013/04/28 00:00:00+00,44.2634599999408,-68.5877899999428,EB,da07f3ff-ce64-48ca-ba44-93a6ef8bdfdc
533493.8384,4901143.2934,80,EB019.00,CA,30,30,3.9,0.55,200,20.2,31,163,2013/04/22 00:00:00+00,44.2627600001561,-68.5803800005265,EB,b8a4ccd8-d473-4ecb-95ec-2f12bbbcc718
534810.7768,4899662.8496,81,EB020.00,A,30,30,2.5,0.31,46,6.3,31,163,2013/04/28 00:00:00+00,44.2493699996075,-68.5639799998709,EB,adb207d8-9674-41dd-8631-c5d01735b0ea
537181.3335,4897391.0303,83,EB022.00,A,30,30,1.9,0.05,4,2.3,31,163,2015/06/01 00:00:00+00,44.2288000001853,-68.5344500004171,EB,0a7b1242-702c-4f9f-81f9-263c02e71d65
524632.8831,4904126.3359,84,EC001.00,A,30,30,2.3,0.3,42,5.8,31,163,2013/02/25 00:00:00+00,44.2899699999303,-68.6912500003007,EC,e585fb8e-5919-45f6-b0fd-f7b276273a83
525021.4635,4903282.5285,86,EC002.00,A,30,30,2.7,0.34,24,7.7,31,163,2013/02/25 00:00:00+00,44.2823599999516,-68.6864199997543,EC,547a5cd2-eec0-49cd-8a1e-c0f06a02a6f0
522453.523,4903099.9429,89,EC004.00,A,30,30,3.3,0.44,76,12.1,31,163,2013/02/25 00:00:00+00,44.2808000004461,-68.718609999828,EC,0036d899-83c3-434b-9090-a02fdfc0e60b
521920.493,4904051.1573,90,EC005.00,A,30,30,2.6,0.33,42,7.1,31,163,2013/02/25 00:00:00+00,44.2893800003154,-68.7252499998155,EC,f241a8b7-47b7-4a60-a92a-07f43d6d2e7a
521472.941,4905984.5977,92,EC006.10,A,30,30,1.9,0.07,4,2.4,31,163,2013/02/25 00:00:00+00,44.3067999997977,-68.7307800003097,EC,c327fdce-6a66-4f9c-8b20-b456404219ad
525626.1212,4902717.2737,94,EC007.00,A,30,30,2.7,0.32,28,7.1,31,163,2013/02/25 00:00:00+00,44.2772500000589,-68.6788699999132,EC,61ee31ee-045c-40ca-89c0-dedee77cc4cb
529832.412,4898166.5614,97,EC009.00,A,30,30,2.7,0.26,12,5.9,31,163,2013/02/25 00:00:00+00,44.2361199998986,-68.626419999633,EC,667c2931-9fde-41c9-b648-bf446bcbc98a
528218.0044,4895867.9535,98,EC010.00,A,30,30,3.3,0.41,34,11.6,31,163,2013/02/25 00:00:00+00,44.2154900001477,-68.6467599999543,EC,c5320dbf-f92d-4842-a6c8-d9f68ca8e393
534286.5693,4894095.2145,100,EC012.00,A,30,30,2.3,0.2,14,4.2,31,163,2013/02/25 00:00:00+00,44.1992700002379,-68.5709099998902,EC,085dfb02-8b52-4813-8e1b-e2133aec8dfc
534151.7131,4893137.0479,101,EC013.00,A,30,30,2.1,0.15,9.1,3.3,31,163,2013/02/25 00:00:00+00,44.1906500003605,-68.5726599993719,EC,2b66c0ba-931d-42ce-a886-65b9ee07b7d2
533541.4879,4892910.6439,102,EC014.00,A,30,30,2.9,0.54,1200,14.4,31,163,2013/02/25 00:00:00+00,44.1886399998497,-68.5803099998616,EC,ecd52e38-56bd-4c8d-b24f-e64e07ea68dc
529878.3356,4895446.555,104,EC016.00,A,30,30,4.4,0.58,92,24.7,31,163,2013/04/22 00:00:00+00,44.2116299999081,-68.6259999997255,EC,293c1dfe-1cfd-424b-a666-a9057cba35fd
527930.5469,4896213.2751,105,EC017.00,A,30,30,4.2,0.52,240,20,31,163,2013/03/13 00:00:00+00,44.2186100000837,-68.650340000241,EC,56c6861b-b62c-46a9-b197-72ab751c8f9b
527351.7443,4895942.038,106,EC017.50,A,30,30,4.2,0.68,700,31.9,31,163,2013/04/17 00:00:00+00,44.216189999631,-68.6575999993802,EC,76635956-654a-4ced-8732-a4ec4522e99c
526502.1308,4895657.5354,107,EC017.70,A,30,30,2.6,0.36,62,7.6,31,163,2013/04/17 00:00:00+00,44.2136600000877,-68.6682499994349,EC,85b8efc3-2a5e-4f13-830c-59b153ecd940
525444.3355,4895062.4378,109,EC018.00,R,30,30,5.4,0.71,680,44.7,31,163,2013/06/03 00:00:00+00,44.2083399998287,-68.6815200005911,EC,471fb3fa-da25-4a45-a468-b251ac7779cc
526907.2265,4893886.4468,111,EC019.00,A,30,30,3.9,0.55,360,20.1,31,163,2013/04/17 00:00:00+00,44.1977000004084,-68.6632700001059,EC,43ef4d36-134e-44bb-a0fa-f649c66ef011
527426.3134,4893197.7163,112,EC019.70,P,30,30,2.9,0.43,96,10.7,31,163,2013/04/17 00:00:00+00,44.1914799999431,-68.6568099995853,EC,f0d5c153-76f5-4458-a81b-b3f8c2f0befd
527184.5366,4892914.5847,114,EC020.00,P,30,30,3.3,0.49,96,14.6,31,163,2013/04/17 00:00:00+00,44.1889400004307,-68.6598500004873,EC,ffd813c4-870a-499a-b140-9431bc8e3b1f
529750.0335,4892023.783,115,EC021.00,A,30,30,2.8,0.41,140,9.7,31,163,2013/04/17 00:00:00+00,44.1808199995642,-68.6278000003341,EC,ad91d879-9320-48d8-b49a-f94c80f0ea65
528564.6179,4891294.3244,119,EC022.00,A,30,30,2.6,0.35,38,7.6,31,163,2013/04/17 00:00:00+00,44.174299999874,-68.6426700003795,EC,a9bec9f5-40ac-44b7-a6e4-73b5b91f8827
527887.273,4891541.3305,121,EC022.30,A,30,30,4.1,0.53,134,20.1,31,163,2013/04/17 00:00:00+00,44.1765500001971,-68.6511299995331,EC,071f11d9-f317-4291-9b3f-d85dd032a38f
528675.9937,4889585.3924,124,EC023.50,A,30,30,2.4,0.26,12,5.5,31,163,2013/04/17 00:00:00+00,44.1589100000544,-68.6413699996834,EC,0858a058-1674-4dd1-ad17-8c11fd73a9c4
525423.3168,4888721.1976,128,EC026.20,A,30,30,2.5,0.29,38,6,31,163,2013/04/17 00:00:00+00,44.1512499998851,-68.6820900003313,EC,79d0f255-539f-4351-a2e0-233d1cf1f336
524710.1759,4889092.794,130,EC026.70,A,30,30,2.3,0.24,16,4.8,31,163,2013/04/17 00:00:00+00,44.1546199998,-68.6909899996719,EC,d9753eec-d541-4753-9e0b-95f828f710fc
524117.6231,4889964.7346,132,EC026.90,P,30,30,2.4,0.32,50,6.5,31,163,2013/04/17 00:00:00+00,44.1624900002197,-68.6983600004014,EC,64e4b493-f28b-4b33-8404-a7b105f4763d
524494.535,4890093.8613,133,EC027.00,A,30,30,3.4,0.37,24,10.4,31,163,2013/04/17 00:00:00+00,44.1636400000288,-68.6936399994509,EC,1163843d-c205-4b65-8298-507138489ab4
524135.3404,4890365.7715,134,EC027.40,A,30,30,3.1,0.42,72,10.9,31,163,2013/04/17 00:00:00+00,44.1661000001455,-68.698120000326,EC,10e583ce-0c5e-4d2a-9f95-914b88bf51fc
523999.4367,4891894.7451,136,EC027.80,A,30,30,2.6,0.33,31,7,31,163,2013/04/17 00:00:00+00,44.1798700002006,-68.6997499997737,EC,7345d0b8-ef74-44d4-ae50-4168ef82a504
524166.4827,4892332.9845,137,EC028.00,A,30,30,6.1,0.56,158,32,31,163,2013/04/17 00:00:00+00,44.1838100001832,-68.6976399999271,EC,5f061e06-26b8-45b5-9ff6-72fca92176c3
522567.2506,4895556.1898,142,EC031.00,A,30,30,2.3,0.29,31,5.5,31,163,2013/04/17 00:00:00+00,44.2128800000891,-68.717510000443,EC,b48e9957-ecfb-4f71-a552-2a14e9022eb9
525465.5439,4896803.0455,144,EC033.00,P,30,30,2.6,0.34,72,7.4,31,163,2013/04/17 00:00:00+00,44.224009999588,-68.681169999731,EC,64295d61-3834-4456-a6fb-73bff1a65508
