X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
420840.132,4856091.9096,803,WJ048.50,A,30,30,4.1,0.54,94,21,31,163,2011/04/04 00:00:00+00,43.85367,-69.98493,WJ
421763.5786,4855874.364,804,WJ049.00,A,30,30,2.7,0.28,24,6.3,31,163,2011/04/04 00:00:00+00,43.85181,-69.97341,WJ
422770.3194,4856248.0394,805,WJ049.50,A,30,30,3.6,0.43,62,13,31,163,2011/04/04 00:00:00+00,43.85528,-69.96094,WJ
423473.7673,4856258.7855,806,WJ050.50,A,30,30,2.7,0.26,18,5.8,31,163,2011/04/04 00:00:00+00,43.85545,-69.95219,WJ
423007.3075,4855334.4299,807,WJ051.00,A,30,30,5,0.56,88,26.3,31,163,2011/03/28 00:00:00+00,43.84708,-69.95786,WJ
421485.7918,4852498.5626,808,WJ055.00,A,30,30,2.3,0.23,16,4.7,31,163,2011/03/28 00:00:00+00,43.82139,-69.97637,WJ
420087.255,4851031.1719,809,WJ056.00,A,30,30,2.8,0.31,40,7.3,31,163,2011/02/07 00:00:00+00,43.80803,-69.99354,WJ
419108.662,4848614.7619,810,WJ057.00,P,30,30,2.9,0.54,980,14.5,31,163,2011/05/03 00:00:00+00,43.78617,-70.00534,WJ
418153.1231,4847672.247,811,WJ058.00,P,30,30,11.6,0.72,220,99.1,31,163,2011/02/07 00:00:00+00,43.77758,-70.01707,WJ
417995.5092,4846702.2263,812,WJ059.00,A,30,30,2.7,0.32,26,7.1,31,163,2011/02/07 00:00:00+00,43.76883,-70.01888,WJ
416777.5205,4845343.2465,813,WJ060.00,A,30,30,2.7,0.36,34,7.9,31,163,2011/02/07 00:00:00+00,43.75646,-70.0338,WJ
416174.5039,4843487.9668,814,WJ062.00,CA,30,30,2.2,0.22,16,4.3,31,163,2011/02/07 00:00:00+00,43.73969,-70.041,WJ
416819.3256,4844305.2279,815,WJ063.00,CA,30,30,2,0.13,10,2.9,31,163,2011/02/07 00:00:00+00,43.74712,-70.03312,WJ
417013.4152,4845148.1365,816,WJ064.00,CA,30,30,3.6,0.64,320,24.7,31,163,2010/01/06 00:00:00+00,43.75473,-70.03084,WJ
417755.4323,4845968.7177,817,WJ065.00,CA,30,30,2.5,0.38,124,8.1,31,163,2010/02/03 00:00:00+00,43.7622,-70.02175,WJ
417752.4664,4845597.7443,818,WJ066.00,CA,30,30,2.1,0.12,6,3,31,163,2010/02/03 00:00:00+00,43.75886,-70.02173,WJ
417489.799,4844540.1678,819,WJ067.00,A,30,30,3.5,0.45,84,13.6,31,163,2011/02/07 00:00:00+00,43.74931,-70.02483,WJ
417917.9777,4844915.8913,820,WJ067.50,R,30,30,5.2,0.55,80,26.6,31,163,2011/09/07 00:00:00+00,43.75274,-70.01957,WJ
418307.7263,4844918.8815,821,WJ068.00,R,30,30,6.2,0.63,200,41.1,31,163,2011/08/16 00:00:00+00,43.75281,-70.01473,WJ
418160.4564,4844728.5178,822,WJ068.50,R,30,30,3.7,0.45,56,14.2,31,163,2011/09/07 00:00:00+00,43.75108,-70.01653,WJ
418117.5682,4843661.5618,823,WJ070.00,A,30,30,3.4,0.47,96,14.1,31,163,2011/02/07 00:00:00+00,43.74147,-70.0169,WJ
419307.9334,4844333.5326,824,WK002.00,P,30,30,2.5,0.29,26,6,31,163,2011/02/08 00:00:00+00,43.74765,-70.00222,WK
419642.2427,4845480.2843,825,WK004.00,A,30,30,2.7,0.31,31,7.1,31,163,2011/02/08 00:00:00+00,43.75801,-69.99824,WK
418969.5869,4845117.4164,826,WK005.00,P,30,30,6.2,0.72,300,53.2,31,163,2011/03/29 00:00:00+00,43.75467,-70.00654,WK
418818.3573,4845525.8095,827,WK005.50,P,30,30,2.5,0.25,16,5.2,31,163,2011/08/17 00:00:00+00,43.75833,-70.00848,WK
419394.7448,4846585.1867,828,WK006.10,A,30,30,2.9,0.37,50,8.8,31,163,2011/02/08 00:00:00+00,43.76793,-70.00148,WK
420158.2766,4847291.3529,829,WK007.00,A,30,30,2.2,0.18,9.1,3.8,31,163,2011/03/29 00:00:00+00,43.77437,-69.9921,WK
420671.0934,4848719.2717,830,WK007.10,P,30,30,6.1,0.77,980,61.2,31,163,2011/02/08 00:00:00+00,43.78728,-69.98594,WK
421489.0741,4849298.3039,831,WK008.00,R,30,30,4.9,0.67,380,36,31,163,2011/02/08 00:00:00+00,43.79258,-69.97586,WK
421531.5493,4850854.0343,832,WK009.00,A,30,30,4.5,0.51,106,20.7,31,163,2011/03/29 00:00:00+00,43.80659,-69.97556,WK
421803.1264,4850141.0376,833,WK010.00,A,30,30,2.9,0.44,64,10.9,31,163,2011/02/08 00:00:00+00,43.8002,-69.97208,WK
422787.9929,4851606.9034,834,WK011.00,A,30,30,4.4,0.57,160,24.4,31,163,2011/03/29 00:00:00+00,43.8135,-69.96005,WK
422705.7324,4850202.7002,835,WK012.00,A,30,30,2.3,0.24,28,4.8,31,163,2011/02/08 00:00:00+00,43.80085,-69.96087,WK
423325.2221,4852088.3319,836,WK013.10,A,30,30,2.5,0.32,27,6.6,31,163,2011/02/08 00:00:00+00,43.81789,-69.95344,WK
423783.2189,4853452.6817,837,WK013.20,A,30,30,2.3,0.18,10,3.9,31,163,2011/02/08 00:00:00+00,43.83022,-69.94794,WK
423457.7354,4853888.52,838,WK013.30,A,30,30,3.6,0.52,320,17,31,163,2011/03/29 00:00:00+00,43.83411,-69.95205,WK
